sort,VarID,VarTitle,VarDescription,VarCategory,VarType,Source,LineID_Code,Count,Code,CodeDescription,ShortName,EA_ConversionRules,Notes
48,V9,Animal Husbandry,"The degree to which a society is dependent for subsistence on animal husbandry (meat, milk, leather, wool, hair, and other animal products).",Subsistence,Ordinal,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),9_NA,0,NA,Missing data,Missing data,,
49,,,,,,,9_1,478,1,0 to 5 percent dependence,<5%,EA004 = 0,
50,,,,,,,9_2,544,2,6 to 25 percent dependence,6-25%,EA004 = 1 or 2,
51,,,,,,,9_3,201,3,26 to 45 percent dependence,26-45%,EA004 = 3 or 4,
52,,,,,,,9_4,88,4,46 to 100 percent dependence,>45%,5 ≤ EA004 ≤ 9,
53,V10,Intensity of Agriculture,The style of agriculture implemented in the society.,Subsistence,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),10_NA,98,NA,Missing data,Missing data,,
54,,,,,,,10_1,234,1,No agriculture,Absence,EA028 = 1,
55,,,,,,,10_2,42,2,"Casual agriculture, i.e., the slight or sporadic cultivation of food or other plants incidental to a primary dependence upon extracting activities.",Casual,EA028 = 2,
56,,,,,,,10_3,484,3,"Extensive agriculture, when cultivation is moved to new fields every year or so.",Extensive,EA028 = 3,
57,,,,,,,10_4,99,4,"Horticulture, where semi-permanent vegetable plots or orchards are the main form of cultivation, rather than field crops.",Horticulture,EA028 = 4,
58,,,,,,,10_5,222,5,Intensive agriculture. Fertilization and crop rotation on permanent fields.,Intensive,EA028 = 5,
59,,,,,,,10_6,132,6,Intensive cultivation where the land is irrigated.,Irrigation,EA028 = 6,
60,V11,Agricultural Product,"The main agricultural product of a society, whether in the form of roots, fruits, or grains.",Subsistence,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),11_NA,349,NA,Missing data,Missing data,,
61,,,,,,,11_1,239,1,"Roots or tubers, e.g., manioc, potatoes, taro, or yams. Vegetables, e.g., cucurbits, greens, or legumes.",Roots/Vegetables,EA029 = 3 or 5,
62,,,,,,,11_2,81,2,"Tree fruits, e.g., bananas, breadfruit, coconuts, or dates.",Fruits,EA029 = 4,
63,,,,,,,11_3,642,3,"Cereal grains, e.g., maize, millet, rice, or wheat.",Grains,EA029 = 6,
64,V12,Size of Animals,The principal form of domesticated animals in the society.,Subsistence,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),12_NA,525,NA,Missing data,Missing data,,
65,,,,,,,12_1,106,1,"Pigs, when they are the only domestic animal that is important.",Pigs,EA040 = 2,
66,,,,,,,12_2,176,2,"Sheep and/or goats, when they are the main type.",Sheep/Goats,EA040 = 3,
67,,,,,,,12_3,504,3,"Relatively large domestic animals such as cattle, yaks, water buffalo, camels, deer, horses, donkeys.",Others,EA040 ≥ 4,
68,V13,Milking,The presence of milking and types of animals that are milked.,Subsistence,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),13_NA,640,NA,Missing data,Missing data,,
69,,,,,,,13_1,288,1,Milking is absent.,Absence,EA041 = 1,
70,,,,,,,13_2,20,2,Sheep/goats and deer are milked.,Sheep & Deer,EA041 = 2 and EA040 = 3 or 5,
71,,,,,,,13_3,363,3,"Other animals (camelids, equine animals, bovine animals) are milked.",Others,"EA041 = 2 and EA040 = 4, 6, or 7",
72,V14,Metal Working,The presence or absence of metal working in a society.,Labour,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),14_NA,319,NA,Missing data,Missing data,,
73,,,,,,,14_1,527,1,Metal working is absent.,Absence,EA044 = 9,
74,,,,,,,14_2,465,2,Metal working is present.,Presence,EA044 < 9,
75,V15,Gender Complementarity: Main subsistence activity,"The proportional contribution of men and women to the primary food producing activity of the society (either gathering, hunting, fishing, animal husbandry, or agriculture).",Labour; Subsistence,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),15_NA,294,NA,Missing data,Missing data,,
76,,,,,,,15_1,339,1,"Either women alone perform the main food producing activity, or perform appreciably more than men.",Females more/alone (Complementarity),"Either:
V5 = 1 and EA050 = 5 or 6;
V5 = 2 and either (EA002 ≥ 4 and EA002 ≥ EA003) or ((EA002 < 4 and EA002 > EA003) and (EA051 = 5 or 6));
V5 = 2 and either (EA002 ≥ 4 and EA002 < EA003) or ((EA002 < 4 and EA002 ≤ EA003) and (EA052 = 5 or 6)); 
V5 = 3, 4, 6, 7, or 8 and EA054 = 5 or 6;
V5 = 5 and EA053 = 5 or 6",
77,,,,,,,15_2,264,2,Men and women participate equally in the main food producting activity.,Equal Participation (Complementarity),"Either:
V5 = 1 and EA050 = 3 or 4;
V5 = 2 and either (EA002 ≥ 4 and EA002 ≥ EA003) or ((EA002 < 4 and EA002 > EA003) and (EA051 = 3 or 4)); 
V5 = 2 and either (EA002 ≥ 4 and EA002 < EA003) or ((EA002 < 4 and EA002 ≤ EA003) and (EA052 = 3 or 4)); 
V5 = 3, 4, 6, 7, or 8 and EA054 = 3 or 4;
V5 = 5 and EA053 = 3 or 4",
78,,,,,,,15_3,414,3,"Either men alone perform the main food producing activity, or perform appreciably more than women.",Males more/alone (Non-Complementarity),"Either:
V5 = 1 and EA050 = 1 or 2;
V5 = 2 and either (EA002 ≥ 4 and EA002 ≥ EA003) or ((EA002 < 4 and EA002 > EA003) and (EA051 = 1 or 2)); 
V5 = 2 and either (EA002 ≥ 4 and EA002 < EA003) or ((EA002 < 4 and EA002 ≤ EA003) and (EA052 = 1 or 2)); 
V5 = 3, 4, 6, 7, or 8 and EA054 = 1 or 2;
V5 = 5 and EA053 = 1 or 2",
79,V16,Gender Complementarity: All subsistence activities,"An index, based on the world average, of the proportional contribution of men and women averaged across all food producing activities present in the society.",Labour; Subsistence,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),16_NA,1311,NA,Missing data,Missing data,,
80,,,,,,,16_1,0,1,Women participate in food producing activities at a higher rate than the world average.,Complementary,"The average below is weighted using the following scale: 
EA050-54_1 = 0, EA050-54_2 = 1, EA050-54_3 = 2, EA050-54_4 = 2, EA050-54_5 = 3, EA050-54_6 = 4

((EA050 + EA051 + EA052 + EA053 + EA054)/5) > World Average ",
81,,,,,,,16_2,0,2,Women participate in food producing activities at a lower rate than the world average.,Non-Complementary,"The average below is weighted using the following scale: 
EA050-54_1 = 0, EA050-54_2 = 1, EA050-54_3 = 2, EA050-54_4 = 2, EA050-54_5 = 3, EA050-54_6 = 4

((EA050 + EA051 + EA052 + EA053 + EA054)/5) < World Average ",
82,V17,Gender Complementarity: Crafts,"An index, based on the world average, of the proportional contribution of men and women averaged across six craft activities: Metal Working, Weaving, Leather Working, Pottery, Boat Building, and House Construction",Labour,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),17_NA,1311,NA,Missing data,Missing data,,
83,,,,,,,17_1,0,1,Women participate in craft activities at a higher rate than the world average.,Complementary,"The average below is weighted using the following scale: 
EA044-49_1 = 0, EA044-49_2 = 1, EA044-49_3 = 2, EA044-49_4 = 2, EA044-49_5 = 3, EA044-49_6 = 4

((EA044 + EA045 + EA046 + EA047 + EA048 + EA049)/6) > World Average ",
84,,,,,,,17_2,0,2,Women participate in craft activities at a lower rate than the world average.,Non-Complementary,"The average below is weighted using the following scale: 
EA044-49_1 = 0, EA044-49_2 = 1, EA044-49_3 = 2, EA044-49_4 = 2, EA044-49_5 = 3, EA044-49_6 = 4

((EA044 + EA045 + EA046 + EA047 + EA048 + EA049)/6) < World Average ",
85,V18,Gender Differentiation,"An index, based on the world average, of the extent to which both craft and subsistence activites are done in gender-separate groups or coed groups.",Labour; Subsistence,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),18_NA,1311,NA,Missing data,Missing data,,
86,,,,,,,18_1,0,1,Craft and subsistence activities are performed by gender-separated groups at a higher rate than the world average.,Differentation,"The average below is weighted using the following scale: 
EA044-54_1 = 3, EA044-54_2 = 1, EA044-54_3 = 2, EA044-54_4 = 0, EA044-54_5 = 1, EA044-54_6 = 3

((EA044 + EA045 + EA046 + EA047 + EA048 + EA049 + EA050 + EA051 + EA052 + EA053 + EA054)/11) > World Average ",
87,,,,,,,18_2,0,2,Craft and subsistence activities are performed by gender-separated groups at a lower rate than the world average.,No Differentation,"The average below is weighted using the following scale: 
EA044-54_1 = 3, EA044-54_2 = 1, EA044-54_3 = 2, EA044-54_4 = 0, EA044-54_5 = 1, EA044-54_6 = 3

((EA044 + EA045 + EA046 + EA047 + EA048 + EA049 + EA050 + EA051 + EA052 + EA053 + EA054)/11) < World Average ",
88,V19,Segregation of Adolescent Boys,"Whether adolescent boys are separated from the family, perhaps as part of an initiation rite.",Ritual,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),19_NA,535,NA,Missing data,Missing data,,
89,,,,,,,19_1,260,1,Adolescent boys are isolated from nuclear family as a part of initiation.,Segregation,EA038 ≥ 3,
90,,,,,,,19_2,516,2,There is some familial contact during adolescence.,Contact,EA038 = 1 or 2,
91,V20,Premarital Sex Norms for Females,The extent to which female premarital sexual activity is allowed or prohibited.,Ritual,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),20_NA,691,NA,Missing data,Missing data,,
92,,,,,,,20_1,288,1,"Premarital sex is allowed, such as for trial marriage.",Allowed,EA078 ≥ 4,
93,,,,,,,20_2,126,2,Premarital sex is weakly prohibited through social sanctions of some sort.,Weak-Prohibition,EA078 = 3,
94,,,,,,,20_3,206,3,"Virginity demanded for marriage, or premarital sex is precluded by early marriage of females.",Prohibited,EA078 = 1 or 2,
95,V21,Means of Marriage,"The cost of marriage, and whether it falls on the shoulders of the groom's or the bride's family.",Marriage and Kinship,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),21_NA,21,NA,Missing data,Missing data,,
96,,,,,,,21_1,166,1,A transfer of a female relative of the groom in exchange for the bride.,Exchange,EA006 = 2 or 5,
97,,,,,,,21_2,658,2,"A substantial payment of livestock, goods, money, or labor from the groom’s family in exchange for the bride.",Bride-Price,EA006 = 1,
98,,,,,,,21_3,63,3,Reciprocal exchange of substantial gifts between the two families.,Gift,EA006 = 4,
99,,,,,,,21_4,360,4,A small or symbolic payment from the groom’s family.,Token,EA006 = 3,
100,,,,,,,21_5,43,5,"A substantial payment from the bride’s family to the bride, the groom, or the groom’s kinsmen.",Dowry,EA006 = 7,
101,V22,Type of Polygyny,"The presence or absence of polygyny (more than one wife in a family), and the degree to which the type of polygyny emphasizes the separation of the wives. ",Marriage and Kinship,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),22_NA,30,NA,Missing data,Missing data,,
102,,,,,,,22_1,367,1,Polygyny - Separate. Each wife occupies a separate dwelling.,Polygyny - Separate,"Either
(EA008 = 4 or 5 and EA009 = 4 or 5) 
or
(EA008 = 1, 6, 7, or 8 and EA009 = 4 or 5)",
103,,,,,,,22_2,227,2,Polygyny - Together. All the wives live together.,Polygyny - Together,"Either
(EA008 = 4 or 5 and EA009 = 3 or 6) 
or  
(EA008 = 1, 6, 7, or 8 and EA009 = 3 or 6)",
104,,,,,,,22_3,463,3,Polygyny - Nuclear. Small families with occasional polygyny.,Polygyny - Nuclear,"Either
(EA008 = 2) 
or  
(EA008 = 1, 6, 7, or 8 and EA009 = 2)",
105,,,,,,,22_4,221,4,Monogamy. No polygyny.,Monogamy,"EA008 = 1, 6, 7, or 8 and EA009 = 1",
106,,,,,,,22_5,3,5,Polyandry. More than one husband in the family.,Polyandry,"Either
(EA008 = 3) 
or  
(EA008 = 1, 6, 7, or 8 and EA009 = 7)",
107,V23,Family Size,The typical size of families that dwell together in the society.,Marriage and Kinship,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),23_NA,318,NA,Missing data,Missing data,,
108,,,,,,,23_1,568,1,Extended. Containing several related families under the same roof.,Extended,EA008 = 7 or 8,
109,,,,,,,23_2,50,2,Stem. Consisting of only two related families.,Stem,EA008 = 6,
110,,,,,,,23_3,375,3,"Independent Nuclear. Single families, whether monogamous, polygynous or polyandrous.",Independent Nuclear,EA008 ≤ 5,
111,V24,Marital Residence,"Whether, after marriage, the couple resides with the bride's family, with parents of either side or with neither, or with the groom's family.",Marriage and Kinship,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),24_NA,25,NA,Missing data,Missing data,,
112,,,,,,,24_1,215,1,Couples reside with bride's family. Duolocal or natolocal residence (where the bride and groom remain in their natal households) is also coded for this point.,Bride,"EA012 = 1, 3, 5, 7, or 9",
113,,,,,,,24_2,173,2,Couples reside with either side of the family or with neither.,Either/Neither,"EA012 = 2, 4, or 6",
114,,,,,,,24_3,898,3,Couples reside with groom's family.,Groom,EA012 = 8 or 10,
115,V25,Lineages,"The mode in which descent is reckoned, whether matrilineal, cognatic, or patrilineal.",Marriage and Kinship,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),25_NA,,NA,Missing data,Missing data,,
116,,,,,,,25_1,228,1,Descent and kinship is calculated via the maternal or female line.,Matrilineal,EA019 > 1,
117,,,,,,,25_2,470,2,Descent is calculated in terms of both sides of the family.,Cognatic,EA021 < 9,
118,,,,,,,25_3,591,3,Descent and kinship is calculated via the paternal or male line.,Patrilineal,EA017 > 1,
119,V26,Unilateral/Bilateral,"Whether descent is calculated and aid may be sought from one side of the family, or by both sides.",Marriage and Kinship,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),26_NA,14,NA,Missing data,Missing data,,
120,,,,,,,26_1,759,1,Descent is calculated based on one side of the family (matrilineal or patrilineal).,Unilateral,"Either 
(EA017 > 1 and EA019 = 1)
or 
(EA017 = 1 and EA019 > 1)",
121,,,,,,,26_2,538,2,Descent is calculated in terms of both sides of the family (cognatic).,Bilateral,"Either 
(EA017 > 1 and EA019 > 1) 
or 
(EA021 < 9)",
122,V27,Land Ownership,The presence or absence of land ownership in the society.,Property,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),27_NA,437,NA,Missing data,Missing data,,
123,,,,,,,27_1,220,1,Land ownership absent.,Absence,EA074 = 1,
124,,,,,,,27_2,654,2,Land ownership present.,Presence,EA074 > 1,
125,V28,Inheritance of Real Property,"Code whether land is inherited by matrilineal heirs, patrilineal heirs, or both -- these rules exclusive of the dower rights of the widow.",Property,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),28_NA,437,NA,Missing data,Missing data,,
126,,,,,,,28_1,89,1,"Matrilineal inheritance by daughters, sister’s sons, or other matrilineal heirs.",Matrilineal Heirs,EA074 = 2 or 3,"Original coding instructions mentioned daughters only, but the corresponding Murdock codes listed actually stand for sister's sons or matrilineal heirs."
127,,,,,,,28_2,339,2,"Inheritance by children of either sex or both, even if the inheritance is unequally distributed between the sexes. Also code for the absence of individual property rights or rules of inheritance of real property.",Either,"EA074 = 1, 4, or 5",
128,,,,,,,28_3,446,3,Patrilineal inheritance by sons or other patrilineal heirs.,Patrilineal Heirs,EA074 = 6 or 7,
129,V29,Inheritance of Moveable Property,"Whether moveable property is inherited by daughters, by sons and daughters, or by sons -- these rules exclusive of the dower rights of the widow.",Property,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),29_NA,395,NA,Missing data,Missing data,,
130,,,,,,,29_1,117,1,"Matrilineal inheritance by daughters, sister’s sons, or other matrilineal heirs.",Matrilineal Heirs,EA076 = 2 or 3,"Original coding instructions mentioned daughters only, but the corresponding Murdock codes listed actually stand for sister's sons or matrilineal heirs."
131,,,,,,,29_2,312,2,"Inheritance by children of either sex or both, even if the inheritance is unequally distributed between the sexes. Also code for the absence of individual rights to moveable property or rules of inheritance of moveable property.",Either,"EA076 = 1, 4, or 5",
132,,,,,,,29_3,487,3,Patrilineal inheritance by sons or other patrilineal heirs.,Patrilineal Heirs,EA076 = 6 or 7,
133,V30,Kin Solidarity,The organization of marriage in the society and the presence or absence of localized kin groups.,Marriage and Kinship,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),30_NA,194,NA,Missing data,Missing data,,
134,,,,,,,30_1,512,1,"Segmented communities (i.e., those divided into barrios, wards, or hamlets, each of which is essentially a localized kin group, a clan or ramage) or single clan communities (each consisting essentially of a single localized exogamous kin group or clan.)",Segregated Clan,"EA015 = 2, 5, or 6",
135,,,,,,,30_2,86,2,"Demes, i.e., communities revealing a marked tendency toward local endogamy but not segmented into clan-barrios.",Demes,EA015 = 1,
136,,,,,,,30_3,519,3,"Without local clans or kin-oriented marriage rules, which support cohesive or solidary organization.",Non-Solidary,EA015 = 3 or 4,
137,V31,Kinship System,A measure of the degree of structure in the kinship system based on the extent to which names for cousins distinguish cousin subtypes and/or among other groups of kin.,Marriage and Kinship,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),31_NA,385,NA,Missing data,Missing data,,
138,,,,,,,31_1,137,1,"Structured kinship system, following the Crow or Omaha models of kin terms for cousins described by Murdock.",Structured,EA027 = 1 or 6,
139,,,,,,,31_2,600,2,"Moderately structured kinship system, following the Hawaiian or Iroquois models of kin terms for cousins described by Murdock.",Mod. Structured,EA027 = 4 or 5,
140,,,,,,,31_3,189,3,"Loosely structured kinship system, following the descriptive or Eskimo models of kin terms for cousins described by Murdock.",Loosely,EA027 = 2 or 3,
141,V32,Community Solidarity,"A measure of the relative solidarity of the local community that draws from several Murdock variables to distinguish groupy, clubby, cohesive communities from those that are more individualized and more loosely organized.",Settlement; Politics; Marriage and Kinship,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),32_NA,569,NA,Missing data,Missing data,,
142,,,,,,,32_1,582,1,"Solidary. Class is not differentiated by an elite resource-controlling class or by a complex stratification system based on occupational status; caste is not differentiated by ethnicity or by a complex stratification system based on occupational status; there are less than three levels of jurisdictional hierarchy beyond the local community; and the community is not nomadic or semi-nomadic. In addition, either descent is calculated unilaterally, or the society is organized into ramages (ancestor-oriented ambilineal kin groups) or clan communities.",Solidary,"(EA066 ≠ 3 or 5 and EA068 < 3 and EA033 < 4 and EA030 > 2) and 
Either:
(EA017 > 1 or EA019 > 1) 
and/or
(EA021 = 4 or 5) 
and/or
(EA015 = 6)",
143,,,,,,,32_2,160,2,Non-solidary. Society does not meet the established criteria for solidarity.,Non-solidary,Does not satisfy conditions for 32_1,
144,V33,Social Layering,"An additive score of the social strata in a community, calculated from the Murdock codings for class, caste, and slavery.",Politics,Ordinal,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),33_NA,247,NA,Missing data,Missing data,,
145,,,,,,,33_1,353,1,"No slavery, class, or caste distinctions (social layering score of zero).",None,"The codes used to calculate a social layering score are weighted according to the following scale:
EA066_1 = 0, EA066_2 = 1, EA006_3 = 3, EA066_4 = 2, EA066_5 = 3; EA068_1 = 0, EA068_2 = 1, EA068_3 = 2, EA068_4 = 2; EA070_1 = 0, EA070_2 = 1, EA070_3 = 1, EA070_4 = 1

EA066 + EA068 + EA070 = 0",
146,,,,,,,33_2,254,2,Social layering score of one.,One,l,
147,,,,,,,33_3,153,3,Social layering score of two.,Two,"The codes used to calculate a social layering score are weighted according to the following scale:
EA066_1 = 0, EA066_2 = 1, EA006_3 = 3, EA066_4 = 2, EA066_5 = 3; EA068_1 = 0, EA068_2 = 1, EA068_3 = 2, EA068_4 = 2; EA070_1 = 0, EA070_2 = 1, EA070_3 = 1, EA070_4 = 1

EA066 + EA068 + EA070 = 2",
148,,,,,,,33_4,247,4,Social layering score of three to four.,Mid: 3-4,"The codes used to calculate a social layering score are weighted according to the following scale:
EA066_1 = 0, EA066_2 = 1, EA006_3 = 3, EA066_4 = 2, EA066_5 = 3; EA068_1 = 0, EA068_2 = 1, EA068_3 = 2, EA068_4 = 2; EA070_1 = 0, EA070_2 = 1, EA070_3 = 1, EA070_4 = 1

EA066 + EA068 + EA070 = 3 or 4",
149,,,,,,,33_5,57,5,Social layering score of five to six.,High: 5-6,"The codes used to calculate a social layering score are weighted according to the following scale:
EA066_1 = 0, EA066_2 = 1, EA006_3 = 3, EA066_4 = 2, EA066_5 = 3; EA068_1 = 0, EA068_2 = 1, EA068_3 = 2, EA068_4 = 2; EA070_1 = 0, EA070_2 = 1, EA070_3 = 1, EA070_4 = 1

EA066 + EA068 + EA070 = 5 or 6",
150,V34,Presence of States,The presence and size of a state system that governs the society (derived from Murdock's 1957 World Ethnographic Sample).,Politics,Categorical,Murdock (1957); Lomax et al. (1971); Wood (2021),34_NA,0,NA,Missing data,Missing data,,"I believe this variable came from Murdock's 1957 World Ethnographic Sample and therefore corresponds to EA090, but specific conversion rules have not been found. Not sure how a value of 90_8 would be converted."
151,,,,,,,34_0,1010,0,States are absent.,Absent,EA090 ≤ 4,
