Account No,Coding ID,Archival_Culture_Name,Possible_GJB_All_cid_Matches,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38
6723,,ALORESE,,,,3,6,4,3,5,5,2,3,3,1,111,2,1,111,111,111,2,2,2,3,3,3,2,2,111,111,111,3,2,1,3,1,3,111,2,111
8453955,,ALSEA,,,,111,5,2,4,3,1,1,1,111,111,111,1,3,111,111,111,111,111,2,3,1,3,2,2,111,111,111,3,2,2,3,0,1,5,111,3
6325572,,ALUR,10396,,,111,4,4,5,4,3,2,3,3,3,3,2,2,111,111,111,1,3,2,1,1,3,3,1,2,3,3,1,3,1,4,0,2,4,2,111
12631364,,AMAHUACA,10407,,,1,5,3,5,2,4,1,3,3,111,111,1,2,111,111,111,2,1,1,3,2,3,2,2,1,2,2,3,2,2,1,0,1,1,1,2
41795,,AMAMI,10418,,,8,5,7,5,5,3,2,5,1,3,1,2,2,111,111,111,2,2,4,4,2,3,2,2,2,3,3,3,3,1,3,0,3,6,1,3
4216900,,AMARAR,,,,111,2,5,5,5,5,4,2,3,3,3,111,111,111,111,111,111,1,2,3,3,3,3,1,1,2,111,3,111,111,111,0,2,111,4,111
65,,AMBA,,,,3,4,4,4,4,4,2,3,2,2,1,2,1,111,111,111,2,1,1,1,111,3,3,1,2,3,3,1,1,111,3,0,1,1,1,111
8441155,,AMBO,,,,111,5,4,5,4,4,3,3,3,3,3,2,1,111,111,111,1,111,2,1,111,3,1,1,1,2,1,111,2,1,4,0,3,6,111,4
8425028,,AMBONESE,10462,,,6,5,4,5,5,2,2,3,3,1,111,2,2,111,111,111,2,111,2,4,3,3,2,2,2,3,3,1,111,111,4,0,111,4,4,111
55361,,AMERICANS,,,,8,6,7,5,5,4,3,5,3,3,3,2,3,111,111,111,2,2,4,4,3,2,2,2,2,2,2,3,3,2,4,2,4,6,4,4
6338628,,AMHARA,10495,,,8,4,7,5,5,4,3,5,3,3,3,2,3,111,111,111,2,3,4,4,1,3,2,2,2,3,3,3,3,2,5,0,4,6,4,4
14714948,,AMI,10506,,,5,5,8,5,4,4,2,6,3,3,1,2,2,111,111,111,1,111,4,4,1,1,1,1,2,1,1,1,3,1,1,0,1,6,1,111
10534468,,ANAGUTA,10528,,,4,4,4,4,4,5,2,3,3,2,1,2,2,111,111,111,1,1,1,2,1,3,3,1,2,3,3,1,2,1,2,0,1,2,3,4
12605508,,ANC.EGYPTIAN,11049,,,8,5,8,5,5,4,2,6,3,3,3,2,3,111,111,111,2,1,2,4,3,2,2,2,2,3,2,111,111,111,111,0,5,4,1,4
6328644,,ANC.TARASCO,26610,,,111,5,3,5,4,3,1,5,3,111,111,2,3,111,111,111,111,111,111,3,1,3,2,2,2,3,3,1,3,1,2,0,3,4,111,111
2145348,,ANDALUCIA,10572; 62547; 62415; 62416,,,8,5,7,5,5,5,3,5,3,3,3,2,3,111,111,111,2,3,4,4,3,2,2,2,2,2,2,3,3,111,111,0,4,6,4,4
13378,,ANDAMANESE,,,,1,2,1,2,3,2,1,1,111,111,111,1,1,111,111,111,1,1,4,4,3,2,2,2,1,2,111,3,3,111,1,1,1,2,1,2
4216388,,ANFILLO,,,,111,5,4,4,5,4,2,3,3,3,3,111,111,111,111,111,111,3,111,3,3,3,3,1,111,111,111,3,111,1,4,0,3,111,2,111
8442435,,ANGAMI,10627,,,6,5,4,5,4,4,2,6,3,3,1,2,2,111,111,111,1,2,4,4,3,3,3,1,2,3,3,1,1,1,3,0,1,4,1,3
12614212,,ANGAS,10649,,,111,5,4,4,5,5,2,5,3,2,1,111,111,111,111,111,111,111,2,1,111,3,3,1,2,3,3,111,2,1,4,0,2,4,111,111
8450883,,ANGMAGSALI,16127,,,1,2,2,5,3,1,1,1,111,111,111,1,3,111,111,111,2,1,4,3,1,3,2,2,1,2,3,3,3,2,1,0,1,1,1,2
38468,,ANTAISAKA,,,,111,5,4,5,5,3,3,5,3,3,3,2,2,111,111,111,2,1,4,1,1,3,3,1,2,2,2,1,2,1,4,0,3,4,111,111
12587844,,ANTARIANUN,,,,1,2,1,1,2,3,1,1,111,111,111,1,1,111,111,111,2,2,4,3,3,1,2,2,1,2,2,111,2,111,1,0,1,2,111,3
8397380,,ANTESSAR,,,,111,1,3,5,4,5,4,6,3,3,3,2,3,111,111,111,111,1,2,4,3,3,1,1,111,111,3,3,2,111,5,0,2,6,4,111
6325316,,ANUAK,,,,4,5,4,5,4,3,2,5,3,2,2,111,2,111,111,111,1,111,2,1,111,3,3,1,111,111,111,1,111,111,111,0,2,4,111,111
12610116,,ANYI,,,,111,5,4,5,4,5,2,3,1,2,1,111,111,111,111,111,111,111,2,2,1,3,1,1,2,1,1,1,111,1,4,0,3,4,111,111
54083,,AO@DO,,,,5,5,4,5,4,4,2,3,3,3,1,2,2,111,111,111,1,1,4,4,3,3,3,1,2,3,3,1,1,1,3,0,1,1,3,111
8439619,,APINAYE,,,,2,5,3,3,3,4,1,3,1,111,111,1,2,111,111,111,2,3,4,4,1,1,111,1,111,111,111,1,1,1,1,1,1,4,2,2
24642,,ARANDA,10781,,,1,1,1,1,2,5,1,1,111,111,111,1,1,111,111,111,1,3,5,2,111,3,1,2,1,2,3,1,2,111,1,1,1,4,1,2
6724,,ARAPAHO,,,,4,2,2,3,1,5,1,1,111,111,111,1,3,111,111,111,2,3,4,2,1,1,2,2,1,2,2,3,2,111,1,0,2,5,1,3
7747,,ARAPESH,10803,,,111,4,4,3,4,5,2,4,1,1,111,1,3,111,111,111,2,3,4,2,111,3,3,1,2,3,3,1,1,1,1,1,1,1,1,111
17219,,ARAUCANIAN,10814,,,2,4,4,4,5,4,2,5,3,3,3,2,3,111,111,111,2,1,2,1,1,3,3,1,2,3,3,1,1,1,3,1,1,4,3,3
21572,,ARBORE,,,,4,5,4,5,5,5,3,3,3,3,3,111,111,111,111,111,111,3,2,1,111,3,3,1,2,3,3,111,111,111,111,0,2,4,2,111
49988,,ARGENTINA,,,,8,5,7,5,3,5,3,5,3,3,3,2,3,111,111,111,2,111,111,4,3,2,2,2,2,2,111,111,111,111,5,0,3,6,4,3
4201028,,ARIKARA,,,,5,5,3,5,2,3,1,5,3,111,111,1,1,111,111,111,111,111,4,2,1,1,2,2,111,111,2,111,1,2,111,0,3,4,111,3
25668,,ARMENIANS,10885,,,8,5,7,5,5,5,3,5,3,3,3,2,3,111,111,111,2,1,5,4,1,3,2,2,2,3,2,3,3,2,2,0,4,6,4,111
4215364,,ARUSI,10929,,,111,2,4,5,4,5,4,3,3,3,3,2,3,111,111,111,111,3,2,1,111,3,3,1,2,3,3,111,111,1,3,0,3,6,2,111
28739,,ARYANS,,,,111,111,3,5,4,5,3,111,111,111,111,111,111,111,111,111,111,111,2,2,1,3,2,2,111,111,111,1,2,111,111,2,111,111,111,111
4217924,,ASBEN,62582,,,2,2,3,4,4,5,4,6,3,3,3,2,2,111,111,111,2,111,2,3,3,3,1,1,2,1,2,3,2,111,5,0,3,4,4,111
56898,,ASHANTI,30167,,,7,5,4,5,4,3,1,3,1,2,1,2,2,111,111,111,2,3,2,1,1,1,1,2,2,1,1,3,3,1,4,2,3,6,2,4
27460,,ASSINI,,,,111,5,4,5,4,2,2,3,1,3,1,111,111,111,111,111,111,1,2,2,111,3,1,1,2,1,1,111,111,1,4,0,3,4,111,111
8395332,,ASSINIBOIN,26148,,,4,1,2,3,1,4,1,1,111,111,111,1,3,111,111,111,111,2,2,2,111,3,2,2,1,2,2,3,2,111,1,0,1,2,2,3
10536004,,ATNA,10979,,,1,2,2,3,1,3,1,1,111,111,111,1,3,111,111,111,1,1,1,4,1,2,1,1,1,2,2,1,2,111,3,0,1,111,1,4
4197700,,ATSAKUDOKW,,,,111,2,1,1,2,3,1,1,111,111,111,1,1,111,111,111,2,111,4,3,3,2,2,2,111,111,111,111,111,111,1,0,1,2,111,3
34883,,ATSUGEWI,,,,2,2,1,2,2,2,1,1,111,111,111,1,1,111,111,111,2,3,3,2,1,3,2,2,2,3,3,3,3,111,2,1,1,4,1,3
43331,,ATTAWAPISKAT,,,,2,2,2,4,2,1,1,1,111,111,111,1,3,111,111,111,2,111,1,3,3,3,2,2,2,3,3,3,2,111,1,0,1,2,1,3
4221764,,ATTIE,,,,111,5,4,5,4,5,2,3,1,3,1,111,111,111,111,111,111,111,2,2,111,3,0,1,2,1,1,111,111,2,4,0,2,4,111,111
4231236,,AUA,,,,111,5,3,5,4,1,1,4,1,111,111,1,3,111,111,111,1,1,4,2,111,1,1,1,2,1,1,1,111,1,2,0,2,4,111,111
2136900,,AUETO,,,,111,111,3,3,3,3,1,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,2,2,111,111,111,111,2,111,111,0,111,111,111,111
12606276,,AULLIMINDEN,,,,111,111,3,5,4,5,4,111,111,111,111,111,111,111,111,111,111,111,2,4,3,111,0,1,111,111,111,3,111,111,5,0,111,4,111,111
4222020,,AVIKAM,,,,111,5,4,5,4,2,2,3,1,2,1,111,111,111,111,111,111,1,2,2,1,3,1,1,2,1,1,111,111,1,2,0,2,4,111,111
18243,,AWEIKOMA,,,,1,1,2,2,1,5,1,1,111,111,111,1,3,111,111,111,2,1,4,2,111,2,2,2,1,2,2,2,2,111,1,1,1,1,1,111
8418628,,AWUNA,,,,111,4,4,5,4,4,2,3,3,3,1,111,111,111,111,111,111,111,2,2,1,3,3,1,2,3,3,1,2,1,2,0,1,4,111,111
16707,,AYMARA,11133,,,5,5,4,5,5,4,3,3,1,3,1,2,2,111,111,111,2,1,4,4,1,3,3,1,2,3,3,2,2,1,2,0,111,111,4,3
59970,,AZANDE,11155,,,3,5,3,4,3,4,1,3,3,111,111,2,1,111,111,111,1,1,2,1,111,3,3,1,2,3,3,3,3,1,4,2,3,4,3,4
8412228,,AZJER,,,,111,1,3,4,4,5,4,6,2,3,3,111,111,111,111,111,111,111,2,4,3,111,1,1,2,1,2,3,111,111,111,0,3,4,4,111
14659,,AZTEC,30128,,,8,5,3,5,4,4,1,6,3,111,111,2,2,111,111,111,2,2,4,3,3,3,2,2,2,3,3,1,2,1,4,2,3,4,3,4
19268,,BABALI,,,,111,5,4,5,4,4,2,3,2,2,1,2,1,111,111,111,111,111,1,1,1,3,3,1,2,3,3,1,111,111,2,0,3,4,111,111
39491,,BABWA,,,,111,4,4,5,3,4,1,3,2,3,1,2,1,111,111,111,1,1,2,1,1,3,3,1,2,3,3,1,2,1,2,2,3,111,1,4
8441411,,BABYLONIAN,30093,,,8,5,8,5,5,3,2,6,3,3,3,2,3,111,111,111,2,3,4,3,3,2,2,2,2,3,3,111,111,2,4,0,4,4,1,111
17731,,BACAIRI,,,,1,5,3,5,3,2,1,3,1,111,111,1,2,111,111,111,111,111,4,3,1,3,2,2,111,111,111,2,2,2,1,1,1,2,1,2
10520388,,BACHAMA,,,,111,5,4,5,4,4,2,5,3,3,111,111,111,111,111,111,111,111,2,1,1,3,3,1,2,3,1,1,1,1,111,0,3,6,111,111
8426052,,BADITU,10442,,,111,5,4,5,5,5,2,5,1,3,3,2,3,111,111,111,1,3,4,2,111,3,3,1,2,3,3,111,111,1,4,0,3,4,2,111
59203,,BAFFINLAND,17232,,,1,2,2,5,3,1,1,1,111,111,111,1,3,111,111,111,2,111,1,2,2,2,2,2,1,2,3,3,111,111,1,0,1,2,3,3
12602948,,BAFIA,,,,111,5,4,5,5,3,2,3,3,2,1,2,1,111,111,111,1,1,2,1,111,3,3,1,111,111,111,1,111,1,2,0,1,4,111,111
12611396,,BAGA,,,,111,5,4,4,4,3,2,3,3,3,111,111,111,111,111,111,111,111,1,2,1,3,3,1,111,111,111,1,111,1,1,0,2,111,111,111
8421700,,BAGIRMI,,,,7,5,4,4,5,4,2,3,3,3,3,2,111,111,111,111,111,111,2,1,111,3,3,1,111,111,111,111,111,111,111,0,4,111,4,111
8437316,,BAHIMA,11342,,,1,3,5,5,5,5,4,1,111,3,3,1,3,111,111,111,2,3,2,4,1,3,3,1,1,2,2,3,111,111,5,0,5,6,3,4
8397636,,BAIGA,11386,,,2,3,3,4,4,3,1,3,3,111,111,111,2,111,111,111,1,1,2,2,111,3,3,1,111,111,3,1,2,1,1,0,1,111,111,111
49216,,BAJUN,,,,111,5,4,5,4,2,2,3,3,3,3,1,2,111,111,111,2,111,2,4,3,2,3,1,2,2,2,3,3,1,3,0,1,4,111,111
6326852,,BAKHTIARI,11419,,,111,1,5,5,4,5,4,6,3,3,3,2,3,111,111,111,111,111,2,111,111,3,3,1,111,111,111,1,3,111,111,0,3,4,4,111
4216132,,BAKO,30016,,,111,5,4,5,5,5,3,5,3,3,3,2,2,111,111,111,111,111,2,1,111,3,3,1,2,3,3,111,111,1,111,0,3,4,2,111
6330180,,BAKOVI,26467,,,111,111,3,3,4,3,2,111,111,111,111,111,111,111,111,111,111,111,111,4,1,3,3,1,111,111,111,111,2,111,111,0,111,111,111,111
8416324,,BAKWE,,,,111,5,4,5,4,4,2,3,3,3,1,111,111,111,111,111,111,111,2,1,1,3,3,1,2,3,3,1,111,111,111,0,2,111,111,111
28740,,BALANTE,,,,111,5,4,5,4,4,2,3,3,3,3,111,111,111,111,111,111,111,2,2,1,3,3,1,2,3,3,111,111,1,2,0,1,111,111,111
20292,,BALI,,,,111,111,3,5,3,4,2,111,111,111,111,111,111,111,111,111,111,111,2,1,1,3,3,1,2,3,3,1,111,111,111,2,111,4,111,111
6211,,BALINESE,11507,,,4,5,8,5,5,5,3,6,3,3,1,2,3,111,111,111,2,1,4,3,1,3,3,1,2,3,3,1,2,111,5,2,4,6,1,111
16449,,BAMBARA,11529,,,7,5,4,3,5,4,2,5,3,3,3,2,3,111,111,111,111,111,2,1,1,3,3,1,2,3,3,1,2,1,4,0,2,4,1,111
20803,,BAMILEKE,,,,111,4,3,5,4,5,2,3,3,111,1,2,1,111,111,111,1,111,2,1,111,3,3,1,2,3,3,1,111,1,4,0,3,4,111,111
4214596,,BAMUM,30193,,,111,5,4,5,4,4,2,3,3,2,1,2,1,111,111,111,111,3,2,1,1,3,3,1,2,3,3,1,111,1,4,0,4,4,3,111
12619588,,BANARO,,,,111,4,4,3,4,4,2,4,1,1,111,1,1,111,111,111,111,111,1,4,3,3,3,1,1,2,2,1,2,1,1,0,1,1,111,111
28737,,BANDA,11584,,,111,5,4,5,3,5,2,3,3,2,1,2,1,111,111,111,111,111,1,1,111,3,3,1,2,3,3,1,1,1,2,1,1,4,2,111
8408900,,BANEN,,,,111,5,4,4,4,5,2,3,1,2,1,2,1,111,111,111,111,111,1,1,111,3,3,1,2,3,3,1,111,1,2,0,1,4,2,111
4215876,,BANNA,,,,111,4,4,5,4,5,4,3,3,3,3,2,2,111,111,111,1,3,2,1,1,3,3,1,111,111,111,1,111,1,1,0,2,4,2,111
4200260,,BANNOCK,11639,,,2,2,2,2,1,3,1,1,111,111,111,1,3,111,111,111,2,2,4,3,3,1,2,2,1,2,2,3,2,111,1,0,2,2,111,3
25924,,BANYANG,,,,4,5,4,5,4,4,2,3,2,2,1,111,111,111,111,111,111,1,2,1,1,3,3,1,2,3,3,1,111,1,2,0,2,4,111,111
4223044,,BANYUN,,,,111,5,4,5,5,3,2,3,3,1,111,111,3,111,111,111,1,1,1,2,1,3,3,1,2,3,3,111,111,1,1,0,1,4,111,111
14727236,,BARA,11672,,,111,2,4,4,5,5,4,3,3,3,3,111,1,111,111,111,111,1,2,1,1,3,1,2,2,3,2,3,111,111,111,0,3,6,111,111
49217,,BARABRA,11683,,,2,5,4,5,5,4,3,6,2,3,3,2,3,111,111,111,111,111,2,3,3,3,3,1,2,2,2,3,3,111,111,0,1,111,4,4
8410948,,BAREA,,,,111,5,4,4,5,5,2,3,3,3,3,1,2,111,111,111,1,1,2,1,111,2,1,1,2,1,1,111,111,1,2,0,1,1,111,111
45379,,BARI,,,,111,5,4,5,4,5,3,3,2,3,3,2,2,111,111,111,1,2,2,1,111,3,3,1,2,3,3,1,1,1,3,1,1,4,2,111
8419652,,BASA,,,,111,4,4,5,4,4,2,3,3,2,1,2,2,111,111,111,111,111,1,1,1,3,3,1,2,3,3,111,111,111,111,0,2,111,2,111
12613956,,BASAKOMO,,,,111,4,4,5,4,4,2,3,3,2,1,111,111,111,111,111,111,111,1,1,1,3,3,1,2,3,3,1,111,111,111,0,2,111,111,111
4225092,,BASARI,,,,111,5,4,5,4,5,2,5,1,3,3,2,3,111,111,111,111,1,2,2,1,3,3,1,2,3,3,1,111,1,2,0,2,3,111,111
17988,,BASHI,,,,111,111,3,5,5,4,3,111,111,111,111,111,111,111,111,111,111,111,2,1,111,3,3,1,111,111,111,1,2,111,2,0,111,6,111,111
8410692,,BASKETO,14694,,,111,5,4,5,5,5,3,5,1,3,3,1,3,111,111,111,111,111,2,3,3,3,3,1,2,3,3,111,111,1,3,0,2,111,2,111
12629828,,BASOGA,11793,,,111,5,4,5,5,3,2,5,2,3,3,2,1,111,111,111,2,111,2,1,111,3,3,1,2,3,3,3,1,1,4,0,3,111,111,111
24899,,BASQUES,15500,,,111,5,7,5,5,3,3,5,3,3,3,2,3,111,111,111,2,111,5,4,2,2,2,2,2,2,2,3,3,111,4,0,111,111,4,111
8417604,,BASSARI,11815,,,111,5,4,4,4,5,2,3,3,3,1,2,2,111,111,111,1,1,2,3,3,3,1,1,2,1,1,3,111,1,1,0,2,4,2,111
45891,,BASSERI,11826,,,5,1,5,5,4,5,4,2,3,2,2,2,3,111,111,111,2,3,2,3,3,3,3,1,1,2,3,2,111,111,3,0,2,4,4,4
4226884,,BATA,,,,111,4,4,5,5,5,2,5,3,3,111,111,111,111,111,111,111,111,2,1,111,3,3,1,2,3,3,111,2,111,111,0,2,6,111,111
6467,,BATAK,,,,111,5,8,5,5,4,2,6,3,3,1,2,2,111,111,111,1,1,2,3,1,3,3,1,2,3,3,3,111,1,3,1,1,4,4,111
2145092,,BAULE,11870,,,111,5,4,5,4,3,2,3,1,2,1,2,3,111,111,111,111,1,4,1,1,1,1,1,2,1,1,1,111,1,2,0,2,4,111,111
40515,,BAYA,11892,,,4,5,4,4,4,4,2,3,1,2,1,2,1,111,111,111,111,2,2,1,111,3,3,1,2,3,3,1,111,1,2,1,1,4,2,3
12586820,,BEATTY,,,,1,2,1,1,3,5,1,1,111,111,111,1,1,111,111,111,2,111,4,3,3,2,2,2,1,2,2,3,2,111,1,0,1,4,111,3
63043,,BEAVER,,,,1,2,2,2,1,3,1,1,111,111,111,1,3,111,111,111,111,3,4,3,3,1,2,2,1,2,2,2,111,111,1,0,1,111,1,111
1091,,BEDOUIN,,,,111,1,5,4,4,5,4,1,111,3,3,2,3,111,111,111,2,3,2,1,111,3,2,2,1,2,3,3,3,111,4,0,2,111,4,2
41027,,BEJA,,,,111,2,5,5,5,5,4,6,3,3,3,111,3,111,111,111,111,111,2,3,3,3,3,1,111,111,3,1,3,111,111,2,2,1,4,111
64835,,BELLABELLA,,,,2,2,2,3,2,1,1,1,111,111,111,1,3,111,111,111,2,111,3,3,1,3,2,2,111,111,1,3,2,1,4,0,1,4,1,3
8448835,,BELLACOOLA,11980,,,2,5,2,3,3,1,1,1,111,111,111,1,3,111,111,111,2,2,3,2,1,3,2,2,1,2,3,3,2,1,4,0,1,1,2,3
6979,,BELU,,,,111,4,4,5,5,5,3,3,3,3,1,2,2,111,111,111,2,111,2,2,1,1,1,1,1,2,111,1,2,111,5,2,2,4,111,111
53826,,BEMBA,12002,,,3,3,4,4,4,4,1,3,3,2,1,2,1,111,111,111,2,3,1,1,111,1,1,2,2,1,1,3,2,1,4,2,3,4,3,111
47940,,BENA,,,,111,5,4,5,4,5,3,6,3,3,3,2,1,111,111,111,1,111,2,1,111,2,2,2,2,3,3,3,2,1,4,0,3,6,4,111
15940,,BENDE,,,,111,5,4,5,3,3,1,3,3,2,1,111,111,111,111,111,111,111,2,1,111,3,3,1,2,1,1,111,111,1,111,0,3,6,111,111
3395,,BENGALI,12046,,,8,5,8,5,5,3,2,6,3,3,3,2,3,111,111,111,2,3,5,3,1,3,2,2,2,3,3,1,2,111,5,0,5,4,1,4
8411204,,BENI AMER,,,,111,1,5,5,4,5,4,2,3,3,3,111,111,111,111,111,2,111,2,3,1,3,3,1,1,2,2,3,111,111,111,0,3,111,4,111
4218692,,BERABER,21737,,,111,2,7,5,4,5,3,5,3,3,3,111,111,111,111,111,111,3,2,3,3,3,3,1,2,3,3,3,111,111,111,0,3,1,4,111
11076,,BERABISH,,,,111,1,5,5,5,5,4,2,111,3,3,111,111,111,111,111,2,3,2,3,3,3,3,1,111,111,2,1,3,111,5,0,2,111,4,111
18755,,BERGDAMA,,,,111,111,1,2,2,4,1,111,111,111,111,111,111,111,111,111,111,111,1,1,111,3,2,2,1,2,3,3,3,111,2,1,111,4,111,111
39747,,BETE,,,,5,5,4,5,4,4,2,3,1,2,1,111,1,111,111,111,1,1,2,1,1,3,3,1,1,2,3,1,2,1,1,1,1,3,1,111
47428,,BETSILEO,12112,,,111,5,4,5,5,5,2,5,1,3,3,111,2,111,111,111,111,1,4,1,1,3,3,1,111,111,111,3,111,111,111,0,3,6,111,111
14718532,,BGU,,,,111,111,1,1,3,3,1,111,111,111,111,111,111,111,111,111,111,111,2,3,3,2,2,2,111,111,111,111,2,111,111,0,111,111,111,111
42051,,BHIL,12145,,,2,5,7,4,4,4,2,5,3,3,3,2,3,111,111,111,2,3,2,3,1,3,3,1,2,3,3,3,3,111,5,0,2,4,3,2
8430659,,BHUIYA,23167,,,2,3,4,4,4,4,2,3,1,3,1,111,2,111,111,111,1,1,2,4,3,3,3,1,111,111,3,1,2,111,111,0,2,4,2,2
8417348,,BIAFADA,,,,111,5,4,4,5,3,2,3,3,1,111,111,111,111,111,111,111,1,1,1,111,3,3,1,111,111,111,111,111,111,111,0,1,111,111,111
4245572,,BIG NAMBA,12200,,,2,4,4,4,5,5,2,3,111,1,111,1,2,111,111,111,1,2,2,1,111,3,111,111,111,111,111,111,111,2,2,0,1,4,1,1
12621124,,BIHARI,,,,111,111,3,5,5,5,2,111,111,111,111,111,111,111,111,111,111,111,2,111,111,3,3,1,111,111,111,111,3,111,111,0,111,111,111,111
12611652,,BIJOGO,,,,111,5,4,4,5,3,2,3,3,3,1,111,3,111,111,111,111,1,4,3,3,1,1,1,2,1,1,111,111,1,2,0,2,4,111,111
8443715,,BIKINIANS,,,,3,5,6,5,5,2,2,4,2,1,111,1,3,111,111,111,111,111,4,4,1,1,1,1,111,111,111,1,2,111,111,0,2,111,111,111
6329924,,BILAAN,,,,111,111,3,5,4,4,2,111,111,111,111,111,111,111,111,111,111,111,2,3,3,2,2,2,111,111,111,111,2,111,111,0,111,111,111,111
